State,Region,Year,Index,Observed
Kerala,Southern,2019,CNR_Eng,1.391032028469751e-4
Kerala,Southern,2019,CNR_Acf,1.3380782918149466e-6
Kerala,Southern,2020,CNR_Pub,4.841532840513213e-4
Kerala,Southern,2020,CNR_Eng,8.477072535191322e-5
Kerala,Southern,2020,CNR_Acf,2.271504234287818e-5
Kerala,Southern,2021,CNR_Pub,4.2066555834202146e-4
Kerala,Southern,2021,CNR_Eng,1.83380765871115e-4
Kerala,Southern,2021,CNR_Acf,1.225731916932007e-5
Madhya_Pradesh,Central,2018,CNR_Pub,0.0014893451720310767
Madhya_Pradesh,Central,2018,CNR_Eng,4.8554692317178446e-4
Madhya_Pradesh,Central,2018,CNR_Acf,0
Madhya_Pradesh,Central,2019,CNR_Pub,NA
Madhya_Pradesh,Central,2019,CNR_Eng,5.873139410448487e-4
Madhya_Pradesh,Central,2019,CNR_Acf,NA
Madhya_Pradesh,Central,2020,CNR_Pub,0.0012465996593662293
Madhya_Pradesh,Central,2020,CNR_Eng,3.6064000767625396e-4
Madhya_Pradesh,Central,2020,CNR_Acf,5.8915249358313147e-5
Madhya_Pradesh,Central,2021,CNR_Pub,0.0011960102229163709
Madhya_Pradesh,Central,2021,CNR_Eng,6.570590184107151e-4
Madhya_Pradesh,Central,2021,CNR_Acf,1.1514979412182309e-4
Maharashtra,Western,2018,CNR_Pub,0.0011232449942567204
Maharashtra,Western,2018,CNR_Eng,5.74939468312798e-4
Maharashtra,Western,2018,CNR_Acf,3.423655700721422e-5
Maharashtra,Western,2019,CNR_Pub,0.0011001203408839734
Maharashtra,Western,2019,CNR_Eng,6.813422511113113e-4
Maharashtra,Western,2019,CNR_Acf,7.971150933665157e-5
Maharashtra,Western,2020,CNR_Pub,7.40224664422726e-4
Maharashtra,Western,2020,CNR_Eng,4.308690538951296e-4
Maharashtra,Western,2020,CNR_Acf,1.0400259540127337e-4
Maharashtra,Western,2021,CNR_Pub,8.413333654781135e-4
Maharashtra,Western,2021,CNR_Eng,7.219717608106913e-4
Maharashtra,Western,2021,CNR_Acf,4.374100950681871e-5
Manipur,Northeastern,2018,CNR_Pub,6.999674585095998e-4
Manipur,Northeastern,2018,CNR_Eng,2.5252196550602015e-4
Manipur,Northeastern,2018,CNR_Acf,0
Manipur,Northeastern,2019,CNR_Pub,NA
Manipur,Northeastern,2019,CNR_Eng,1.8047051240734774e-4
Manipur,Northeastern,2019,CNR_Acf,NA
Manipur,Northeastern,2020,CNR_Pub,4.3363114231014676e-4
Manipur,Northeastern,2020,CNR_Eng,5.902999361837907e-5
Manipur,Northeastern,2020,CNR_Acf,1.6592214422463305e-5
Manipur,Northeastern,2021,CNR_Pub,3.529225908372828e-4
Manipur,Northeastern,2021,CNR_Eng,1.712480252764613e-4
Manipur,Northeastern,2021,CNR_Acf,4.2338072669826225e-5
Meghalaya,Northeastern,2018,CNR_Pub,0.0013665413533834585
Meghalaya,Northeastern,2018,CNR_Eng,1.519423558897243e-4
Meghalaya,Northeastern,2018,CNR_Acf,6.265664160401003e-6
Meghalaya,Northeastern,2019,CNR_Pub,0.001484801488833747
Meghalaya,Northeastern,2019,CNR_Eng,2.2487593052109182e-4
Meghalaya,Northeastern,2019,CNR_Acf,4.962779156327544e-6
Meghalaya,Northeastern,2020,CNR_Pub,0.001136056511056511
Meghalaya,Northeastern,2020,CNR_Eng,1.296068796068796e-4
Meghalaya,Northeastern,2020,CNR_Acf,8.5995085995086e-6
Meghalaya,Northeastern,2021,CNR_Pub,9.54683698296837e-4
Meghalaya,Northeastern,2021,CNR_Eng,2.6490267639902676e-4
Meghalaya,Northeastern,2021,CNR_Acf,4.318734793187348e-5
Nagaland,Northeastern,2018,CNR_Pub,0.001637388445279474
Nagaland,Northeastern,2018,CNR_Eng,3.414748708313762e-4
Nagaland,Northeastern,2018,CNR_Acf,2.6303428839830907e-5
Nagaland,Northeastern,2019,CNR_Pub,0.001888372093023256
Nagaland,Northeastern,2019,CNR_Eng,3.227906976744186e-4
Nagaland,Northeastern,2019,CNR_Acf,1.8604651162790697e-5
Nagaland,Northeastern,2020,CNR_Pub,0.0012938737908797788
Nagaland,Northeastern,2020,CNR_Eng,3.1091662828189776e-4
Nagaland,Northeastern,2020,CNR_Acf,1.0594196222938738e-5
Nagaland,Northeastern,2021,CNR_Pub,0.0012997262773722627
Nagaland,Northeastern,2021,CNR_Eng,3.302919708029197e-4
Nagaland,Northeastern,2021,CNR_Acf,3.421532846715329e-5
Odisha,Eastern,2018,CNR_Pub,0.0010231089614402794
Odisha,Eastern,2018,CNR_Eng,8.226969411975457e-5
Odisha,Eastern,2018,CNR_Acf,2.1026467822114738e-5
Odisha,Eastern,2019,CNR_Pub,0.0010607279352946404
Odisha,Eastern,2019,CNR_Eng,1.0227979735134654e-4
Odisha,Eastern,2019,CNR_Acf,2.8264154297395786e-5
Odisha,Eastern,2020,CNR_Pub,8.10826901874311e-4
Odisha,Eastern,2020,CNR_Eng,7.997794928335171e-5
Odisha,Eastern,2020,CNR_Acf,1.1281146637265711e-4
Odisha,Eastern,2021,CNR_Pub,8.707107843137255e-4
Odisha,Eastern,2021,CNR_Eng,1.6049544817927172e-4
Odisha,Eastern,2021,CNR_Acf,1.1508665966386554e-4
Punjab,Northern,2018,CNR_Pub,0.0014684493061885952
Punjab,Northern,2018,CNR_Eng,3.520037813565617e-4
Punjab,Northern,2018,CNR_Acf,1.62395759478713e-5
Punjab,Northern,2019,CNR_Pub,0.0014634113667570917
Punjab,Northern,2019,CNR_Eng,4.754345423490405e-4
Punjab,Northern,2019,CNR_Acf,1.0449110820858032e-5
Punjab,Northern,2020,CNR_Pub,0.0011852553240971461
Punjab,Northern,2020,CNR_Eng,3.63467224824745e-4
Punjab,Northern,2020,CNR_Acf,1.757533472872853e-5
Punjab,Northern,2021,CNR_Pub,0.0011653976729621939
Punjab,Northern,2021,CNR_Eng,4.704176142918356e-4
Punjab,Northern,2021,CNR_Acf,1.6908929101156926e-5
Rajasthan,Northern,2018,CNR_Pub,0.0014866502308015107
Rajasthan,Northern,2018,CNR_Eng,6.058015107007973e-4
Rajasthan,Northern,2018,CNR_Acf,7.946915652538817e-6
Rajasthan,Northern,2019,CNR_Pub,0.001548056015738248
Rajasthan,Northern,2019,CNR_Eng,6.777541934147856e-4
Rajasthan,Northern,2019,CNR_Acf,4.197297577138124e-5
Rajasthan,Northern,2020,CNR_Pub,0.0012293255656484355
Rajasthan,Northern,2020,CNR_Eng,5.145707970820078e-4
Rajasthan,Northern,2020,CNR_Acf,1.3631775963614529e-5
Rajasthan,Northern,2021,CNR_Pub,0.0012769768292529105
Rajasthan,Northern,2021,CNR_Eng,5.829139390270052e-4
Rajasthan,Northern,2021,CNR_Acf,2.23382651581085e-5
Tamil_Nadu,Southern,2018,CNR_Pub,9.80688062435295e-4
Tamil_Nadu,Southern,2018,CNR_Eng,3.9157442064187306e-4
Tamil_Nadu,Southern,2018,CNR_Acf,2.0280852645270898e-5
Tamil_Nadu,Southern,2019,CNR_Pub,0.001058537552017967
Tamil_Nadu,Southern,2019,CNR_Eng,3.7224387343946097e-4
Tamil_Nadu,Southern,2019,CNR_Acf,3.358213884668737e-5
Tamil_Nadu,Southern,2020,CNR_Pub,7.437836131967547e-4
Tamil_Nadu,Southern,2020,CNR_Eng,1.9568962116530133e-4
Tamil_Nadu,Southern,2020,CNR_Acf,5.194019645228734e-6
Tamil_Nadu,Southern,2021,CNR_Pub,8.189445302478992e-4
Tamil_Nadu,Southern,2021,CNR_Eng,2.403994659825659e-4
Tamil_Nadu,Southern,2021,CNR_Acf,2.4698306327059502e-5
Telangana,Southern,2018,CNR_Pub,0.001135553331349582
Telangana,Southern,2018,CNR_Eng,2.771661211350664e-4
Telangana,Southern,2018,CNR_Acf,2.8674222955609056e-6
Telangana,Southern,2019,CNR_Pub,0.001314938205265986
Telangana,Southern,2019,CNR_Eng,5.53358409457281e-4
Telangana,Southern,2019,CNR_Acf,5.687802256851155e-5
Telangana,Southern,2020,CNR_Pub,0.0010717583326661864
Telangana,Southern,2020,CNR_Eng,5.776959410775758e-4
Telangana,Southern,2020,CNR_Acf,3.220985776425693e-5
Telangana,Southern,2021,CNR_Pub,0.0010289993373094764
Telangana,Southern,2021,CNR_Eng,5.097415506958251e-4
Telangana,Southern,2021,CNR_Acf,7.064280980781975e-5
Uttar_Pradesh,Northern,2018,CNR_Pub,0.0012785037047046372
Uttar_Pradesh,Northern,2018,CNR_Eng,5.171182127333739e-4
Uttar_Pradesh,Northern,2018,CNR_Acf,9.809697542958808e-5
Uttar_Pradesh,Northern,2019,CNR_Pub,0.001357895625813965
Uttar_Pradesh,Northern,2019,CNR_Eng,7.11533076420466e-4
Uttar_Pradesh,Northern,2019,CNR_Acf,9.248418741304743e-5
Uttar_Pradesh,Northern,2020,CNR_Pub,0.0011251935790965286
Uttar_Pradesh,Northern,2020,CNR_Eng,4.7233738259126187e-4
Uttar_Pradesh,Northern,2020,CNR_Acf,4.440145124000298e-5
Uttar_Pradesh,Northern,2021,CNR_Pub,0.0012514215679905762
Uttar_Pradesh,Northern,2021,CNR_Eng,6.048755559597586e-4
Uttar_Pradesh,Northern,2021,CNR_Acf,1.086151567514194e-4
Uttarakhand,Northern,2018,CNR_Pub,0.001592300009080178
Uttarakhand,Northern,2018,CNR_Eng,4.1369290838100427e-4
Uttarakhand,Northern,2018,CNR_Acf,2.451648052301825e-5
Uttarakhand,Northern,2019,CNR_Pub,0.0017692307692307693
Uttarakhand,Northern,2019,CNR_Eng,5.6341441522305e-4
Uttarakhand,Northern,2019,CNR_Acf,6.4626155641324835e-6
Uttarakhand,Northern,2020,CNR_Pub,0.0013613132209405502
Uttarakhand,Northern,2020,CNR_Eng,4.1490683229813665e-4
Uttarakhand,Northern,2020,CNR_Acf,8.873114463176575e-6
Uttarakhand,Northern,2021,CNR_Pub,0.0014924116150539521
Uttarakhand,Northern,2021,CNR_Eng,4.8241073778401613e-4
Uttarakhand,Northern,2021,CNR_Acf,2.438810421966839e-5
West_Bengal,Eastern,2018,CNR_Pub,9.099452734768476e-4
West_Bengal,Eastern,2018,CNR_Eng,1.5205042732380032e-4
West_Bengal,Eastern,2018,CNR_Acf,1.950216517648525e-5
West_Bengal,Eastern,2019,CNR_Pub,8.516397333498441e-4
West_Bengal,Eastern,2019,CNR_Eng,2.629558541266795e-4
West_Bengal,Eastern,2019,CNR_Acf,2.7418322910862072e-5
West_Bengal,Eastern,2020,CNR_Pub,7.14118708724722e-4
West_Bengal,Eastern,2020,CNR_Eng,8.169941342959104e-5
West_Bengal,Eastern,2020,CNR_Acf,1.856105664711432e-5
West_Bengal,Eastern,2021,CNR_Pub,6.878675159235669e-4
West_Bengal,Eastern,2021,CNR_Eng,2.1538853503184715e-4
West_Bengal,Eastern,2021,CNR_Acf,1.8904458598726113e-5
India,India,2020,PrevA,0.0017859457437135679
India,India,2020,PrevS,5.733233270125289e-4
India,India,2020,PrevC,4.7363568707248525e-4
India,India,2020,PrevTxPri,5.805519075276559e-4
India,India,2020,OnPriDrugM,3.63e-4
India,India,2020,OnPriDrugL,3.36e-4
India,India,2020,OnPriDrugU,4.14e-4
Andhra_Pradesh,Southern,2020,PrevA,0.0016717231131199307
Andhra_Pradesh,Southern,2020,PrevS,6.81072379419231e-4
